valid_time,t2m,tp,latitude,longitude
2022-07-12 02:00:00,278.67847,0.0017938614,78.0,20.0
2022-07-12 03:00:00,278.83368,0.0009508133,78.0,20.0
2022-07-12 04:00:00,278.8083,0.00091314316,78.0,20.0
2022-07-12 05:00:00,278.73788,0.0017724037,78.0,20.0
2022-07-12 06:00:00,278.71292,0.00057935715,78.0,20.0
2022-07-12 07:00:00,278.73132,0.0005235672,78.0,20.0
2022-07-12 08:00:00,278.7406,0.00043725967,78.0,20.0
2022-07-12 09:00:00,278.7682,0.00024318695,78.0,20.0
2022-07-12 10:00:00,278.67023,0.00021791458,78.0,20.0
2022-07-12 11:00:00,278.6416,0.00016880035,78.0,20.0
2022-07-12 12:00:00,278.6247,0.00017499924,78.0,20.0
2022-07-12 13:00:00,278.55096,0.00024604797,78.0,20.0
2022-07-12 14:00:00,278.43912,0.00029611588,78.0,20.0
2022-07-12 15:00:00,278.35028,0.00024175644,78.0,20.0
2022-07-12 16:00:00,278.30353,0.0001540184,78.0,20.0
2022-07-12 17:00:00,278.3042,0.00013065338,78.0,20.0
2022-07-12 18:00:00,278.32208,0.0001077652,78.0,20.0
2022-07-12 19:00:00,278.31854,0.00010585785,78.0,20.0
2022-07-12 20:00:00,278.32764,6.866455e-05,78.0,20.0
2022-07-12 21:00:00,278.2897,3.671646e-05,78.0,20.0
2022-07-12 22:00:00,278.33563,4.2438507e-05,78.0,20.0
2022-07-12 23:00:00,278.3398,4.4822693e-05,78.0,20.0
2022-07-13 00:00:00,278.32568,4.673004e-05,78.0,20.0
2022-07-13 01:00:00,278.2705,7.1525574e-05,78.0,20.0
2022-07-13 02:00:00,278.24567,0.00013113022,78.0,20.0
2022-07-13 03:00:00,278.22855,0.00024080276,78.0,20.0
2022-07-13 04:00:00,278.2262,0.00031089783,78.0,20.0
2022-07-13 05:00:00,278.2231,0.00028467178,78.0,20.0
2022-07-13 06:00:00,278.25476,0.00040245056,78.0,20.0
2022-07-13 07:00:00,278.32788,0.00019216537,78.0,20.0
2022-07-13 08:00:00,278.44696,0.0001296997,78.0,20.0
2022-07-13 09:00:00,278.53833,9.250641e-05,78.0,20.0
2022-07-13 10:00:00,278.73663,3.2424927e-05,78.0,20.0
2022-07-13 11:00:00,278.81033,1.4305115e-05,78.0,20.0
2022-07-13 12:00:00,278.7649,1.5258789e-05,78.0,20.0
2022-07-13 13:00:00,278.6964,6.67572e-06,78.0,20.0
2022-07-13 14:00:00,278.43692,4.2915344e-06,78.0,20.0
2022-07-13 15:00:00,278.15887,4.7683716e-06,78.0,20.0
2022-07-13 16:00:00,278.23218,5.2452087e-06,78.0,20.0
2022-07-13 17:00:00,278.39246,7.6293945e-06,78.0,20.0
2022-07-13 18:00:00,278.53894,1.9550323e-05,78.0,20.0
2022-07-13 19:00:00,278.46436,5.6266785e-05,78.0,20.0
2022-07-13 20:00:00,278.40515,6.484985e-05,78.0,20.0
2022-07-13 21:00:00,278.30438,2.4318695e-05,78.0,20.0
2022-07-13 22:00:00,279.10223,1.3828278e-05,78.0,20.0
2022-07-13 23:00:00,278.6149,3.0994415e-05,78.0,20.0
2022-07-14 00:00:00,278.46796,3.1471252e-05,78.0,20.0
2022-07-14 01:00:00,278.30548,0.00010919571,78.0,20.0
2022-07-14 02:00:00,278.28894,0.0002193451,78.0,20.0
2022-07-14 03:00:00,278.22684,0.00026464462,78.0,20.0
2022-07-14 04:00:00,278.28018,0.00017642975,78.0,20.0
2022-07-14 05:00:00,278.19913,9.250641e-05,78.0,20.0
2022-07-14 06:00:00,278.09393,6.9618225e-05,78.0,20.0
2022-07-14 07:00:00,277.98413,2.3841858e-05,78.0,20.0
2022-07-14 08:00:00,277.90536,2.861023e-06,78.0,20.0
2022-07-14 09:00:00,277.97607,1.9073486e-06,78.0,20.0
2022-07-14 10:00:00,278.20514,4.7683716e-06,78.0,20.0
2022-07-14 11:00:00,278.30164,5.722046e-06,78.0,20.0
2022-07-14 12:00:00,278.4405,1.2397766e-05,78.0,20.0
2022-07-14 13:00:00,278.6101,3.8146973e-06,78.0,20.0
2022-07-14 14:00:00,278.89975,2.527237e-05,78.0,20.0
2022-07-14 15:00:00,279.14246,0.00016307831,78.0,20.0
2022-07-14 16:00:00,279.00217,0.0006623268,78.0,20.0
2022-07-14 17:00:00,278.65347,0.001253128,78.0,20.0
2022-07-14 18:00:00,278.26083,0.0017824173,78.0,20.0
2022-07-14 19:00:00,277.87512,0.00094890594,78.0,20.0
2022-07-14 20:00:00,277.628,0.0010991096,78.0,20.0
2022-07-14 21:00:00,277.4926,0.0008869171,78.0,20.0
2022-07-14 22:00:00,277.39886,0.0009255409,78.0,20.0
2022-07-14 23:00:00,277.29352,0.00030469894,78.0,20.0
2022-07-15 00:00:00,277.27066,0.0002527237,78.0,20.0
2022-07-15 01:00:00,277.2823,0.00026369095,78.0,20.0
2022-07-15 02:00:00,277.31036,0.00017642975,78.0,20.0
2022-07-15 03:00:00,277.40405,6.055832e-05,78.0,20.0
2022-07-15 04:00:00,277.38733,9.4890594e-05,78.0,20.0
2022-07-15 05:00:00,277.44904,2.336502e-05,78.0,20.0
2022-07-15 06:00:00,277.451,6.055832e-05,78.0,20.0
